SRCID,Q1,Q5a,Q5c,p_age_group_sdc,p_education_sdc,TFC_DUM1
915,2,2,3,4,3,"(1,2]"
1799,2,1,1,2,1,"(1,2]"
622,1,2,1,4,3,"(1,2]"
2086,5,2,1,3,NA,"(1,2]"
516,2,1,3,4,1,"(1,2]"
41,2,1,3,4,2,"(1,2]"
1580,4,1,4,3,NA,"(1,2]"
2335,2,1,3,2,2,"(1,2]"
665,1,1,1,2,1,"(1,2]"
423,4,1,1,4,3,"(1,2]"
1573,4,1,1,1,2,"(1,2]"
772,2,2,2,3,3,"(1,2]"
293,2,2,2,4,1,"(1,2]"
207,2,1,1,3,1,"(1,2]"
1565,1,2,1,2,3,"(1,2]"
2097,2,4,1,3,3,"(1,2]"
1545,5,1,1,2,2,"(1,2]"
284,2,2,1,4,1,"(1,2]"
10,4,2,2,4,2,"(1,2]"
1075,2,2,2,4,NA,"(1,2]"
85,2,1,2,4,3,"(1,2]"
2146,4,1,1,3,2,"(1,2]"
1553,2,1,1,3,3,"(1,2]"
1471,4,2,3,1,2,"(1,2]"
988,2,2,2,3,2,"(1,2]"
948,5,1,1,4,1,"(1,2]"
1376,2,2,2,2,3,"(1,2]"
1038,2,2,3,2,1,"(1,2]"
1677,4,1,1,3,1,"(1,2]"
189,5,1,1,3,2,"(1,2]"
1456,2,1,2,3,1,"(1,2]"
2418,1,1,1,2,1,"(1,2]"
1539,2,1,1,4,1,"(1,2]"
1055,4,2,4,4,3,"(1,2]"
1147,2,2,1,2,1,"(1,2]"
675,2,2,2,2,2,"(1,2]"
1588,1,2,4,3,3,"(1,2]"
982,4,1,3,3,3,"(1,2]"
2016,1,2,2,3,2,"(1,2]"
671,4,2,4,4,1,"(1,2]"
88,1,1,1,3,3,"(1,2]"
833,4,2,3,4,2,"(1,2]"
1745,2,2,2,4,NA,"(1,2]"
397,2,1,1,4,3,"(1,2]"
155,2,2,1,3,3,"(1,2]"
360,4,2,2,3,3,"(1,2]"
481,2,2,1,4,1,"(1,2]"
1751,2,1,1,2,1,"(1,2]"
1101,2,4,4,4,2,"(1,2]"
1207,2,3,2,3,3,"(1,2]"
1289,2,3,4,2,1,"(1,2]"
1393,2,2,1,2,3,"(1,2]"
